scenario,wind_scenario,pv_scenario,hour,time,wind_pu,pv_pu,wind_mw,pv_mw,renewable_mw,purchase_price_yuan_per_kwh,sell_price_yuan_per_kwh,regular_load_mw,production_on,marginal_on_cost_yuan,alk_load_mw,pem_load_mw,ammonia_load_mw,process_load_mw,ammonia_output_t,total_load_mw,grid_purchase_mw,grid_sale_mw,grid_exchange_mw,case_name,production_t_per_day,required_on_hours,equipment_utilization
W1_PV1,1,1,0,0:00-1:00,0.2444,0.0,9.776,0.0,9.776,0.3424,0.3779,1.3698000000000001,1,19511.0201,20.0,20.0,1.5,41.5,3.0,42.8698,33.0938,0.0,33.0938,W1_PV1,72,24,1.0
W1_PV1,1,1,1,1:00-2:00,0.2726,0.0,10.904,0.0,10.904,0.3424,0.3779,1.0997999999999999,1,19560.6491,20.0,20.0,1.5,41.5,3.0,42.5998,31.695800000000002,0.0,31.695800000000002,W1_PV1,72,24,1.0
W1_PV1,1,1,2,2:00-3:00,0.3788,0.0,15.152000000000001,0.0,15.152000000000001,0.3424,0.3779,0.7998000000000001,1,19722.103099999997,20.0,20.0,1.5,41.5,3.0,42.2998,27.147799999999997,0.0,27.147799999999997,W1_PV1,72,24,1.0
W1_PV1,1,1,3,3:00-4:00,0.3328,0.0,13.312,0.0,13.312,0.3424,0.3779,0.99,1,19650.031000000003,20.0,20.0,1.5,41.5,3.0,42.49,29.178000000000004,0.0,29.178000000000004,W1_PV1,72,24,1.0
W1_PV1,1,1,4,4:00-5:00,0.3768,0.0,15.072000000000001,0.0,15.072000000000001,0.3424,0.3779,1.1802000000000001,1,19705.758899999997,20.0,20.0,1.5,41.5,3.0,42.6802,27.608199999999997,0.0,27.608199999999997,W1_PV1,72,24,1.0
W1_PV1,1,1,5,5:00-6:00,0.4681,0.0,18.724,0.0,18.724,0.3424,0.3779,1.6301999999999999,1,19819.429900000003,20.0,20.0,1.5,41.5,3.0,43.1302,24.406200000000002,0.0,24.406200000000002,W1_PV1,72,24,1.0
W1_PV1,1,1,6,6:00-7:00,0.2407,0.22,9.628,14.08,23.708,0.3424,0.3779,2.5002,1,19965.4769,20.0,20.0,1.5,41.5,3.0,44.0002,20.2922,0.0,20.2922,W1_PV1,72,24,1.0
W1_PV1,1,1,7,7:00-8:00,0.5701,0.4,22.804000000000002,25.6,48.404,0.6074,0.3779,3.3701999999999996,1,20685.85,20.0,20.0,1.5,41.5,3.0,44.8702,0.0,3.5338000000000065,-3.5338000000000065,W1_PV1,72,24,1.0
W1_PV1,1,1,8,8:00-9:00,0.4463,0.58,17.852,37.12,54.971999999999994,0.6074,0.3779,4.0098,1,20685.85,20.0,20.0,1.5,41.5,3.0,45.5098,0.0,9.462199999999996,-9.462199999999996,W1_PV1,72,24,1.0
W1_PV1,1,1,9,9:00-10:00,0.3582,0.72,14.328000000000001,46.08,60.408,0.6074,0.3779,4.199999999999999,1,20685.85,20.0,20.0,1.5,41.5,3.0,45.7,0.0,14.707999999999998,-14.707999999999998,W1_PV1,72,24,1.0
W1_PV1,1,1,10,10:00-11:00,0.2976,0.82,11.904,52.48,64.384,0.8024,0.3779,4.1202,1,20685.85,20.0,20.0,1.5,41.5,3.0,45.6202,0.0,18.763800000000003,-18.763800000000003,W1_PV1,72,24,1.0
W1_PV1,1,1,11,11:00-12:00,0.1934,0.86,7.736,55.04,62.775999999999996,0.8024,0.3779,3.9000000000000004,1,20685.850000000002,20.0,20.0,1.5,41.5,3.0,45.4,0.0,17.375999999999998,-17.375999999999998,W1_PV1,72,24,1.0
W1_PV1,1,1,12,12:00-13:00,0.2139,0.88,8.556000000000001,56.32,64.876,0.8024,0.3779,3.2598000000000003,1,20685.85,20.0,20.0,1.5,41.5,3.0,44.7598,0.0,20.116200000000006,-20.116200000000006,W1_PV1,72,24,1.0
W1_PV1,1,1,13,13:00-14:00,0.363,0.88,14.52,56.32,70.84,0.8024,0.3779,2.6898,1,20685.85,20.0,20.0,1.5,41.5,3.0,44.1898,0.0,26.650200000000005,-26.650200000000005,W1_PV1,72,24,1.0
W1_PV1,1,1,14,14:00-15:00,0.1677,0.82,6.707999999999999,52.48,59.187999999999995,0.8024,0.3779,3.63,1,20685.85,20.0,20.0,1.5,41.5,3.0,45.13,0.0,14.057999999999993,-14.057999999999993,W1_PV1,72,24,1.0
W1_PV1,1,1,15,15:00-16:00,0.2794,0.7,11.175999999999998,44.8,55.976,0.6074,0.3779,3.8202000000000003,1,20685.85,20.0,20.0,1.5,41.5,3.0,45.3202,0.0,10.6558,-10.6558,W1_PV1,72,24,1.0
W1_PV1,1,1,16,16:00-17:00,0.2527,0.52,10.107999999999999,33.28,43.388,0.6074,0.3779,3.75,1,21113.179000000004,20.0,20.0,1.5,41.5,3.0,45.25,1.8620000000000019,0.0,1.8620000000000019,W1_PV1,72,24,1.0
W1_PV1,1,1,17,17:00-18:00,0.1596,0.38,6.3839999999999995,24.32,30.704,0.6074,0.3779,3.1398,1,23884.116100000003,20.0,20.0,1.5,41.5,3.0,44.6398,13.9358,0.0,13.9358,W1_PV1,72,24,1.0
W1_PV1,1,1,18,18:00-19:00,0.1607,0.18,6.428000000000001,11.52,17.948,0.8024,0.3779,2.61,1,31791.619000000002,20.0,20.0,1.5,41.5,3.0,44.11,26.162,0.0,26.162,W1_PV1,72,24,1.0
W1_PV1,1,1,19,19:00-20:00,0.1434,0.0,5.736,0.0,5.736,0.8024,0.3779,2.1198,1,36767.523100000006,20.0,20.0,1.5,41.5,3.0,43.6198,37.8838,0.0,37.8838,W1_PV1,72,24,1.0
W1_PV1,1,1,20,20:00-21:00,0.0938,0.0,3.752,0.0,3.752,0.8024,0.3779,1.8599999999999999,1,37499.445999999996,20.0,20.0,1.5,41.5,3.0,43.36,39.608,0.0,39.608,W1_PV1,72,24,1.0
W1_PV1,1,1,21,21:00-22:00,0.0923,0.0,3.6919999999999997,0.0,3.6919999999999997,0.6074,0.3779,1.6301999999999999,1,29736.916900000004,20.0,20.0,1.5,41.5,3.0,43.1302,39.4382,0.0,39.4382,W1_PV1,72,24,1.0
W1_PV1,1,1,22,22:00-23:00,0.122,0.0,4.88,0.0,4.88,0.6074,0.3779,1.56,1,29448.160000000003,20.0,20.0,1.5,41.5,3.0,43.06,38.18,0.0,38.18,W1_PV1,72,24,1.0
W1_PV1,1,1,23,23:00-24:00,0.0798,0.0,3.1919999999999997,0.0,3.1919999999999997,0.3424,0.3779,1.4802,1,19273.368899999998,20.0,20.0,1.5,41.5,3.0,42.980199999999996,39.788199999999996,0.0,39.788199999999996,W1_PV1,72,24,1.0
W1_PV1,1,1,0,0:00-1:00,0.2444,0.0,9.776,0.0,9.776,0.3424,0.3779,1.3698000000000001,1,19511.0201,20.0,20.0,1.5,41.5,3.0,42.8698,33.0938,0.0,33.0938,W1_PV1,63,21,0.875
W1_PV1,1,1,1,1:00-2:00,0.2726,0.0,10.904,0.0,10.904,0.3424,0.3779,1.0997999999999999,1,19560.6491,20.0,20.0,1.5,41.5,3.0,42.5998,31.695800000000002,0.0,31.695800000000002,W1_PV1,63,21,0.875
W1_PV1,1,1,2,2:00-3:00,0.3788,0.0,15.152000000000001,0.0,15.152000000000001,0.3424,0.3779,0.7998000000000001,1,19722.103099999997,20.0,20.0,1.5,41.5,3.0,42.2998,27.147799999999997,0.0,27.147799999999997,W1_PV1,63,21,0.875
W1_PV1,1,1,3,3:00-4:00,0.3328,0.0,13.312,0.0,13.312,0.3424,0.3779,0.99,1,19650.031000000003,20.0,20.0,1.5,41.5,3.0,42.49,29.178000000000004,0.0,29.178000000000004,W1_PV1,63,21,0.875
W1_PV1,1,1,4,4:00-5:00,0.3768,0.0,15.072000000000001,0.0,15.072000000000001,0.3424,0.3779,1.1802000000000001,1,19705.758899999997,20.0,20.0,1.5,41.5,3.0,42.6802,27.608199999999997,0.0,27.608199999999997,W1_PV1,63,21,0.875
W1_PV1,1,1,5,5:00-6:00,0.4681,0.0,18.724,0.0,18.724,0.3424,0.3779,1.6301999999999999,1,19819.429900000003,20.0,20.0,1.5,41.5,3.0,43.1302,24.406200000000002,0.0,24.406200000000002,W1_PV1,63,21,0.875
W1_PV1,1,1,6,6:00-7:00,0.2407,0.22,9.628,14.08,23.708,0.3424,0.3779,2.5002,1,19965.4769,20.0,20.0,1.5,41.5,3.0,44.0002,20.2922,0.0,20.2922,W1_PV1,63,21,0.875
W1_PV1,1,1,7,7:00-8:00,0.5701,0.4,22.804000000000002,25.6,48.404,0.6074,0.3779,3.3701999999999996,1,20685.85,20.0,20.0,1.5,41.5,3.0,44.8702,0.0,3.5338000000000065,-3.5338000000000065,W1_PV1,63,21,0.875
W1_PV1,1,1,8,8:00-9:00,0.4463,0.58,17.852,37.12,54.971999999999994,0.6074,0.3779,4.0098,1,20685.85,20.0,20.0,1.5,41.5,3.0,45.5098,0.0,9.462199999999996,-9.462199999999996,W1_PV1,63,21,0.875
W1_PV1,1,1,9,9:00-10:00,0.3582,0.72,14.328000000000001,46.08,60.408,0.6074,0.3779,4.199999999999999,1,20685.85,20.0,20.0,1.5,41.5,3.0,45.7,0.0,14.707999999999998,-14.707999999999998,W1_PV1,63,21,0.875
W1_PV1,1,1,10,10:00-11:00,0.2976,0.82,11.904,52.48,64.384,0.8024,0.3779,4.1202,1,20685.85,20.0,20.0,1.5,41.5,3.0,45.6202,0.0,18.763800000000003,-18.763800000000003,W1_PV1,63,21,0.875
