time,load_pu,wind_pu,pv_pu,hour,regular_load_mw,wind_mw,pv_mw,renewable_mw,purchase_price_yuan_per_kwh,sell_price_yuan_per_kwh,production_load_factor,process_load_factor,alk_load_mw,pem_load_mw,ammonia_load_mw,process_load_mw,ammonia_output_t,total_load_mw,grid_purchase_mw,grid_sale_mw,grid_exchange_mw,case_name,production_t_per_day,full_load_equivalent_hours,equipment_utilization,wind_scenario,pv_scenario
0:00-1:00,0.2283,0.2726,0.0,0,1.3698000000000001,10.904,0.0,10.904,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.8698,31.965799999999998,0.0,31.965799999999998,typical,72,24.0,1.0,-1,-1
1:00-2:00,0.1833,0.3788,0.0,1,1.0997999999999999,15.152000000000001,0.0,15.152000000000001,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.5998,27.4478,0.0,27.4478,typical,72,24.0,1.0,-1,-1
2:00-3:00,0.1333,0.3328,0.0,2,0.7998000000000001,13.312,0.0,13.312,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.2998,28.9878,0.0,28.9878,typical,72,24.0,1.0,-1,-1
3:00-4:00,0.165,0.3768,0.0,3,0.99,15.072000000000001,0.0,15.072000000000001,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.49,27.418,0.0,27.418,typical,72,24.0,1.0,-1,-1
4:00-5:00,0.1967,0.4681,0.0,4,1.1802000000000001,18.724,0.0,18.724,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.6802,23.9562,0.0,23.9562,typical,72,24.0,1.0,-1,-1
5:00-6:00,0.2717,0.2407,0.02,5,1.6301999999999999,9.628,1.28,10.908,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,43.1302,32.2222,0.0,32.2222,typical,72,24.0,1.0,-1,-1
6:00-7:00,0.4167,0.5701,0.12,6,2.5002,22.804000000000002,7.68,30.484,0.3424,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.0002,13.516199999999998,0.0,13.516199999999998,typical,72,24.0,1.0,-1,-1
7:00-8:00,0.5617,0.4463,0.28,7,3.3701999999999996,17.852,17.92,35.772000000000006,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.8702,9.098199999999991,0.0,9.098199999999991,typical,72,24.0,1.0,-1,-1
8:00-9:00,0.6683,0.3582,0.45,8,4.0098,14.328000000000001,28.8,43.128,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.5098,2.3817999999999984,0.0,2.3817999999999984,typical,72,24.0,1.0,-1,-1
9:00-10:00,0.7,0.2976,0.58,9,4.199999999999999,11.904,37.12,49.024,0.6074,0.3779,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.7,0.0,3.323999999999998,-3.323999999999998,typical,72,24.0,1.0,-1,-1
