scenario,wind_scenario,pv_scenario,hour,time,wind_pu,pv_pu,wind_mw,pv_mw,renewable_mw,purchase_price_yuan_per_kwh,sell_price_yuan_per_kwh,regular_load_mw,production_load_factor,process_load_factor,alk_load_mw,pem_load_mw,ammonia_load_mw,process_load_mw,ammonia_output_t,total_load_mw,production_on,grid_purchase_mw,grid_sale_mw,grid_exchange_mw,purchase_sale_binary,target_ammonia_t,mode
W1_PV1,1,1,0,0:00-1:00,0.2444,0.0,9.776,0.0,9.776,0.3424,0.3779,1.3698000000000001,0.9999999999999997,0.9999999999999997,19.999999999999993,19.999999999999993,1.4999999999999996,41.499999999999986,2.999999999999999,42.869799999999984,1,33.09379999999999,0.0,33.09379999999999,1,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,1,1:00-2:00,0.2726,0.0,10.904,0.0,10.904,0.3424,0.3779,1.0997999999999999,0.9999999999999998,0.9999999999999998,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,2.999999999999999,42.599799999999995,1,31.69579999999999,0.0,31.69579999999999,1,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,2,2:00-3:00,0.3788,0.0,15.152000000000001,0.0,15.152000000000001,0.3424,0.3779,0.7998000000000001,0.9999999999999998,0.9999999999999998,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,2.999999999999999,42.29979999999999,1,27.14779999999999,0.0,27.14779999999999,1,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,3,3:00-4:00,0.3328,0.0,13.312,0.0,13.312,0.3424,0.3779,0.99,0.9999999999999999,0.9999999999999999,19.999999999999996,19.999999999999996,1.4999999999999998,41.49999999999999,2.9999999999999996,42.489999999999995,1,29.177999999999997,0.0,29.177999999999997,1,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,4,4:00-5:00,0.3768,0.0,15.072000000000001,0.0,15.072000000000001,0.3424,0.3779,1.1802000000000001,0.9999999999999999,0.9999999999999999,19.999999999999996,19.999999999999996,1.4999999999999998,41.49999999999999,2.9999999999999996,42.68019999999999,1,27.608199999999997,0.0,27.608199999999997,1,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,5,5:00-6:00,0.4681,0.0,18.724,0.0,18.724,0.3424,0.3779,1.6301999999999999,0.9999999999999997,0.9999999999999997,19.999999999999993,19.999999999999993,1.4999999999999996,41.499999999999986,2.999999999999999,43.13019999999999,1,24.406199999999984,0.0,24.406199999999984,1,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,6,6:00-7:00,0.2407,0.22,9.628,14.08,23.708,0.3424,0.3779,2.5002,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.0002,1,20.2922,0.0,20.2922,1,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,7,7:00-8:00,0.5701,0.4,22.804000000000002,25.6,48.404,0.6074,0.3779,3.3701999999999996,0.9999999999999999,0.9999999999999999,19.999999999999996,19.999999999999996,1.4999999999999998,41.49999999999999,2.9999999999999996,44.87019999999999,1,0.0,3.53380000000001,-3.53380000000001,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,8,8:00-9:00,0.4463,0.58,17.852,37.12,54.971999999999994,0.6074,0.3779,4.0098,1.7121511705062656e-16,1.7121511705062656e-16,3.424302341012531e-15,3.424302341012531e-15,2.5682267557593986e-16,7.105427357601002e-15,5.136453511518797e-16,4.009800000000007,0,0.0,50.96219999999999,-50.96219999999999,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,9,9:00-10:00,0.3582,0.72,14.328000000000001,46.08,60.408,0.6074,0.3779,4.199999999999999,1.7121511705062656e-16,1.7121511705062656e-16,3.424302341012531e-15,3.424302341012531e-15,2.5682267557593986e-16,7.105427357601002e-15,5.136453511518797e-16,4.200000000000006,0,0.0,56.20799999999999,-56.20799999999999,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,10,10:00-11:00,0.2976,0.82,11.904,52.48,64.384,0.8024,0.3779,4.1202,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.6202,1,0.0,18.763800000000003,-18.763800000000003,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,11,11:00-12:00,0.1934,0.86,7.736,55.04,62.775999999999996,0.8024,0.3779,3.9000000000000004,1.0,1.0,20.0,20.0,1.5,41.5,3.0,45.4,1,0.0,17.375999999999998,-17.375999999999998,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,12,12:00-13:00,0.2139,0.88,8.556000000000001,56.32,64.876,0.8024,0.3779,3.2598000000000003,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.7598,1,0.0,20.116200000000006,-20.116200000000006,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,13,13:00-14:00,0.363,0.88,14.52,56.32,70.84,0.8024,0.3779,2.6898,1.0,1.0,20.0,20.0,1.5,41.5,3.0,44.1898,1,0.0,26.650199999999998,-26.650199999999998,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,14,14:00-15:00,0.1677,0.82,6.707999999999999,52.48,59.187999999999995,0.8024,0.3779,3.63,0.6294035975367142,0.6294035975367142,12.588071950734284,12.588071950734284,0.9441053963050712,26.12024929777364,1.8882107926101424,29.75024929777364,1,0.0,29.437750702226356,-29.437750702226356,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,15,15:00-16:00,0.2794,0.7,11.175999999999998,44.8,55.976,0.6074,0.3779,3.8202000000000003,1.7121511705062656e-16,1.7121511705062656e-16,3.424302341012531e-15,3.424302341012531e-15,2.5682267557593986e-16,7.105427357601002e-15,5.136453511518797e-16,3.8202000000000074,0,0.0,52.15579999999999,-52.15579999999999,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,16,16:00-17:00,0.2527,0.52,10.107999999999999,33.28,43.388,0.6074,0.3779,3.75,5.136453511518796e-16,5.136453511518796e-16,1.0272907023037593e-14,1.0272907023037593e-14,7.704680267278194e-16,2.1316282072803006e-14,1.5409360534556388e-15,3.7500000000000213,0,0.0,39.63799999999998,-39.63799999999998,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,17,17:00-18:00,0.1596,0.38,6.3839999999999995,24.32,30.704,0.6074,0.3779,3.1398,0.10000000000000005,0.10000000000000005,2.000000000000001,2.000000000000001,0.15000000000000008,4.150000000000002,0.30000000000000016,7.289800000000002,1,0.0,23.414199999999997,-23.414199999999997,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,18,18:00-19:00,0.1607,0.18,6.428000000000001,11.52,17.948,0.8024,0.3779,2.61,4.280377926265664e-17,4.280377926265664e-17,8.5607558525313275e-16,8.5607558525313275e-16,6.420566889398497e-17,1.7763568394002505e-15,1.2841133778796993e-16,2.6100000000000017,0,0.0,15.338,-15.338,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,19,19:00-20:00,0.1434,0.0,5.736,0.0,5.736,0.8024,0.3779,2.1198,2.140188963132832e-17,2.140188963132832e-17,4.2803779262656637e-16,4.2803779262656637e-16,3.210283444699248e-17,8.881784197001252e-16,6.420566889398497e-17,2.119800000000001,0,0.0,3.6161999999999987,-3.6161999999999987,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,20,20:00-21:00,0.0938,0.0,3.752,0.0,3.752,0.8024,0.3779,1.8599999999999999,1.070094481566416e-17,1.070094481566416e-17,2.1401889631328319e-16,2.1401889631328319e-16,1.605141722349624e-17,4.440892098500626e-16,3.210283444699248e-17,1.8600000000000003,0,0.0,1.8919999999999995,-1.8919999999999995,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,21,21:00-22:00,0.0923,0.0,3.6919999999999997,0.0,3.6919999999999997,0.6074,0.3779,1.6301999999999999,1.070094481566416e-17,1.070094481566416e-17,2.1401889631328319e-16,2.1401889631328319e-16,1.605141722349624e-17,4.440892098500626e-16,3.210283444699248e-17,1.6302000000000003,0,0.0,2.0617999999999994,-2.0617999999999994,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,22,22:00-23:00,0.122,0.0,4.88,0.0,4.88,0.6074,0.3779,1.56,1.070094481566416e-17,1.070094481566416e-17,2.1401889631328319e-16,2.1401889631328319e-16,1.605141722349624e-17,4.440892098500626e-16,3.210283444699248e-17,1.5600000000000005,0,0.0,3.3199999999999994,-3.3199999999999994,0,41.188210792610136,grid_connected_same_production
W1_PV1,1,1,23,23:00-24:00,0.0798,0.0,3.1919999999999997,0.0,3.1919999999999997,0.3424,0.3779,1.4802,0.9999999999999999,0.9999999999999999,19.999999999999996,19.999999999999996,1.4999999999999998,41.49999999999999,2.9999999999999996,42.980199999999996,1,39.788199999999996,0.0,39.788199999999996,1,41.188210792610136,grid_connected_same_production
W1_PV2,1,2,0,0:00-1:00,0.2444,0.0,9.776,0.0,9.776,0.3424,0.3779,1.3698000000000001,0.9999999999999997,0.9999999999999997,19.999999999999993,19.999999999999993,1.4999999999999996,41.499999999999986,2.999999999999999,42.869799999999984,1,33.09379999999999,0.0,33.09379999999999,1,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,1,1:00-2:00,0.2726,0.0,10.904,0.0,10.904,0.3424,0.3779,1.0997999999999999,0.9999999999999998,0.9999999999999998,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,2.999999999999999,42.599799999999995,1,31.69579999999999,0.0,31.69579999999999,1,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,2,2:00-3:00,0.3788,0.0,15.152000000000001,0.0,15.152000000000001,0.3424,0.3779,0.7998000000000001,0.9999999999999998,0.9999999999999998,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,2.999999999999999,42.29979999999999,1,27.14779999999999,0.0,27.14779999999999,1,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,3,3:00-4:00,0.3328,0.0,13.312,0.0,13.312,0.3424,0.3779,0.99,0.9999999999999999,0.9999999999999999,19.999999999999996,19.999999999999996,1.4999999999999998,41.49999999999999,2.9999999999999996,42.489999999999995,1,29.177999999999997,0.0,29.177999999999997,1,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,4,4:00-5:00,0.3768,0.0,15.072000000000001,0.0,15.072000000000001,0.3424,0.3779,1.1802000000000001,0.9999999999999999,0.9999999999999999,19.999999999999996,19.999999999999996,1.4999999999999998,41.49999999999999,2.9999999999999996,42.68019999999999,1,27.608199999999997,0.0,27.608199999999997,1,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,5,5:00-6:00,0.4681,0.0,18.724,0.0,18.724,0.3424,0.3779,1.6301999999999999,0.9999999999999997,0.9999999999999997,19.999999999999993,19.999999999999993,1.4999999999999996,41.499999999999986,2.999999999999999,43.13019999999999,1,24.406199999999984,0.0,24.406199999999984,1,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,6,6:00-7:00,0.2407,0.0,9.628,0.0,9.628,0.3424,0.3779,2.5002,0.9999999999999998,0.9999999999999998,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,2.999999999999999,44.00019999999999,1,34.37219999999999,0.0,34.37219999999999,1,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,7,7:00-8:00,0.5701,0.05,22.804000000000002,3.2,26.004,0.6074,0.3779,3.3701999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3701999999999996,0,0.0,22.6338,-22.6338,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,8,8:00-9:00,0.4463,0.17,17.852,10.88,28.732,0.6074,0.3779,4.0098,3.424302341012531e-16,3.424302341012531e-16,6.848604682025062e-15,6.848604682025062e-15,5.136453511518797e-16,1.4210854715202004e-14,1.0272907023037595e-15,4.0098000000000145,0,0.0,24.722199999999987,-24.722199999999987,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,9,9:00-10:00,0.3582,0.28,14.328000000000001,17.92,32.248000000000005,0.6074,0.3779,4.199999999999999,8.560755852531328e-17,8.560755852531328e-17,1.7121511705062655e-15,1.7121511705062655e-15,1.2841133778796993e-16,3.552713678800501e-15,2.5682267557593986e-16,4.200000000000003,0,0.0,28.048000000000002,-28.048000000000002,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,10,10:00-11:00,0.2976,0.39,11.904,24.96,36.864000000000004,0.8024,0.3779,4.1202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1202,0,0.0,32.74380000000001,-32.74380000000001,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,11,11:00-12:00,0.1934,0.49,7.736,31.36,39.096,0.8024,0.3779,3.9000000000000004,0.7727255993188594,0.7727255993188594,15.454511986377188,15.454511986377188,1.1590883989782892,32.06811237173267,2.3181767979565784,35.968112371732666,1,0.0,3.12788762826733,-3.12788762826733,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,12,12:00-13:00,0.2139,0.56,8.556000000000001,35.84,44.396,0.8024,0.3779,3.2598000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2598000000000003,0,0.0,41.1362,-41.1362,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,13,13:00-14:00,0.363,0.58,14.52,37.12,51.64,0.8024,0.3779,2.6898,0.9999999999999999,0.9999999999999999,19.999999999999996,19.999999999999996,1.4999999999999998,41.49999999999999,2.9999999999999996,44.18979999999999,1,0.0,7.450200000000006,-7.450200000000006,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,14,14:00-15:00,0.1677,0.5,6.707999999999999,32.0,38.708,0.8024,0.3779,3.63,5.136453511518796e-16,5.136453511518796e-16,1.0272907023037593e-14,1.0272907023037593e-14,7.704680267278194e-16,2.1316282072803006e-14,1.5409360534556388e-15,3.630000000000021,0,0.0,35.077999999999975,-35.077999999999975,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,15,15:00-16:00,0.2794,0.4,11.175999999999998,25.6,36.775999999999996,0.6074,0.3779,3.8202000000000003,0.7941156626506023,0.7941156626506023,15.882313253012047,15.882313253012047,1.1911734939759033,32.955799999999996,2.3823469879518067,36.775999999999996,1,0.0,0.0,0.0,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,16,16:00-17:00,0.2527,0.3,10.107999999999999,19.2,29.308,0.6074,0.3779,3.75,1.7121511705062656e-16,1.7121511705062656e-16,3.424302341012531e-15,3.424302341012531e-15,2.5682267557593986e-16,7.105427357601002e-15,5.136453511518797e-16,3.750000000000007,0,0.0,25.557999999999993,-25.557999999999993,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,17,17:00-18:00,0.1596,0.15,6.3839999999999995,9.6,15.983999999999998,0.6074,0.3779,3.1398,4.280377926265664e-17,4.280377926265664e-17,8.5607558525313275e-16,8.5607558525313275e-16,6.420566889398497e-17,1.7763568394002505e-15,1.2841133778796993e-16,3.139800000000002,0,0.0,12.844199999999995,-12.844199999999995,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,18,18:00-19:00,0.1607,0.05,6.428000000000001,3.2,9.628,0.8024,0.3779,2.61,6.848604682025062e-16,6.848604682025062e-16,1.3697209364050124e-14,1.3697209364050124e-14,1.0272907023037595e-15,2.842170943040401e-14,2.054581404607519e-15,2.6100000000000283,0,0.0,7.017999999999972,-7.017999999999972,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,19,19:00-20:00,0.1434,0.0,5.736,0.0,5.736,0.8024,0.3779,2.1198,2.140188963132832e-17,2.140188963132832e-17,4.2803779262656637e-16,4.2803779262656637e-16,3.210283444699248e-17,8.881784197001252e-16,6.420566889398497e-17,2.119800000000001,0,0.0,3.6161999999999987,-3.6161999999999987,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,20,20:00-21:00,0.0938,0.0,3.752,0.0,3.752,0.8024,0.3779,1.8599999999999999,1.070094481566416e-17,1.070094481566416e-17,2.1401889631328319e-16,2.1401889631328319e-16,1.605141722349624e-17,4.440892098500626e-16,3.210283444699248e-17,1.8600000000000003,0,0.0,1.8919999999999995,-1.8919999999999995,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,21,21:00-22:00,0.0923,0.0,3.6919999999999997,0.0,3.6919999999999997,0.6074,0.3779,1.6301999999999999,1.070094481566416e-17,1.070094481566416e-17,2.1401889631328319e-16,2.1401889631328319e-16,1.605141722349624e-17,4.440892098500626e-16,3.210283444699248e-17,1.6302000000000003,0,0.0,2.0617999999999994,-2.0617999999999994,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,22,22:00-23:00,0.122,0.0,4.88,0.0,4.88,0.6074,0.3779,1.56,1.070094481566416e-17,1.070094481566416e-17,2.1401889631328319e-16,2.1401889631328319e-16,1.605141722349624e-17,4.440892098500626e-16,3.210283444699248e-17,1.5600000000000005,0,0.0,3.3199999999999994,-3.3199999999999994,0,31.700523785908384,grid_connected_same_production
W1_PV2,1,2,23,23:00-24:00,0.0798,0.0,3.1919999999999997,0.0,3.1919999999999997,0.3424,0.3779,1.4802,0.9999999999999999,0.9999999999999999,19.999999999999996,19.999999999999996,1.4999999999999998,41.49999999999999,2.9999999999999996,42.980199999999996,1,39.788199999999996,0.0,39.788199999999996,1,31.700523785908384,grid_connected_same_production
W1_PV3,1,3,0,0:00-1:00,0.2444,0.0,9.776,0.0,9.776,0.3424,0.3779,1.3698000000000001,0.9999999999999997,0.9999999999999997,19.999999999999993,19.999999999999993,1.4999999999999996,41.499999999999986,2.999999999999999,42.869799999999984,1,33.09379999999999,0.0,33.09379999999999,1,19.939726416854025,grid_connected_same_production
W1_PV3,1,3,1,1:00-2:00,0.2726,0.0,10.904,0.0,10.904,0.3424,0.3779,1.0997999999999999,0.9999999999999998,0.9999999999999998,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,2.999999999999999,42.599799999999995,1,31.69579999999999,0.0,31.69579999999999,1,19.939726416854025,grid_connected_same_production
W1_PV3,1,3,2,2:00-3:00,0.3788,0.0,15.152000000000001,0.0,15.152000000000001,0.3424,0.3779,0.7998000000000001,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.2998,1,27.147800000000252,0.0,27.147800000000252,1,19.939726416854025,grid_connected_same_production
W1_PV3,1,3,3,3:00-4:00,0.3328,0.0,13.312,0.0,13.312,0.3424,0.3779,0.99,0.6465754722846744,0.6465754722846744,12.931509445693488,12.931509445693488,0.9698632084270116,26.832882099813986,1.9397264168540231,27.822882099813985,1,14.51088209981382,0.0,14.51088209981382,1,19.939726416854025,grid_connected_same_production
W1_PV3,1,3,4,4:00-5:00,0.3768,0.0,15.072000000000001,0.0,15.072000000000001,0.3424,0.3779,1.1802000000000001,1.0,1.0,20.0,20.0,1.5,41.5,3.0,42.6802,1,27.60820000000036,0.0,27.60820000000036,1,19.939726416854025,grid_connected_same_production
W1_PV3,1,3,5,5:00-6:00,0.4681,0.0,18.724,0.0,18.724,0.3424,0.3779,1.6301999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6301999999999999,0,0.0,17.093800000000073,-17.093800000000073,0,19.939726416854025,grid_connected_same_production
W1_PV3,1,3,6,6:00-7:00,0.2407,0.0,9.628,0.0,9.628,0.3424,0.3779,2.5002,0.9999999999999998,0.9999999999999998,19.999999999999996,19.999999999999996,1.4999999999999996,41.49999999999999,2.999999999999999,44.00019999999999,1,34.37219999999999,0.0,34.37219999999999,1,19.939726416854025,grid_connected_same_production
W1_PV3,1,3,7,7:00-8:00,0.5701,0.02,22.804000000000002,1.28,24.084000000000003,0.6074,0.3779,3.3701999999999996,2.568226755759398e-16,2.568226755759398e-16,5.1364535115187965e-15,5.1364535115187965e-15,3.852340133639097e-16,1.0658141036401503e-14,7.704680267278194e-16,3.3702000000000103,0,0.0,20.713799999999992,-20.713799999999992,0,19.939726416854025,grid_connected_same_production
W1_PV3,1,3,8,8:00-9:00,0.4463,0.05,17.852,3.2,21.052,0.6074,0.3779,4.0098,5.136453511518796e-16,5.136453511518796e-16,1.0272907023037593e-14,1.0272907023037593e-14,7.704680267278194e-16,2.1316282072803006e-14,1.5409360534556388e-15,4.009800000000022,0,0.0,17.04219999999998,-17.04219999999998,0,19.939726416854025,grid_connected_same_production
W1_PV3,1,3,9,9:00-10:00,0.3582,0.08,14.328000000000001,5.12,19.448,0.6074,0.3779,4.199999999999999,2.568226755759398e-16,2.568226755759398e-16,5.1364535115187965e-15,5.1364535115187965e-15,3.852340133639097e-16,1.0658141036401503e-14,7.704680267278194e-16,4.20000000000001,0,0.0,15.24799999999999,-15.24799999999999,0,19.939726416854025,grid_connected_same_production
W1_PV3,1,3,10,10:00-11:00,0.2976,0.12,11.904,7.68,19.584,0.8024,0.3779,4.1202,1.7121511705062656e-16,1.7121511705062656e-16,3.424302341012531e-15,3.424302341012531e-15,2.5682267557593986e-16,7.105427357601002e-15,5.136453511518797e-16,4.120200000000007,0,0.0,15.463799999999992,-15.463799999999992,0,19.939726416854025,grid_connected_same_production
W1_PV3,1,3,11,11:00-12:00,0.1934,0.18,7.736,11.52,19.256,0.8024,0.3779,3.9000000000000004,1.284113377879699e-16,1.284113377879699e-16,2.5682267557593982e-15,2.5682267557593982e-15,1.9261700668195485e-16,5.329070518200751e-15,3.852340133639097e-16,3.9000000000000057,0,0.0,15.355999999999995,-15.355999999999995,0,19.939726416854025,grid_connected_same_production
W1_PV3,1,3,12,12:00-13:00,0.2139,0.22,8.556000000000001,14.08,22.636000000000003,0.8024,0.3779,3.2598000000000003,5.136453511518796e-16,5.136453511518796e-16,1.0272907023037593e-14,1.0272907023037593e-14,7.704680267278194e-16,2.1316282072803006e-14,1.5409360534556388e-15,3.2598000000000216,0,0.0,19.376199999999983,-19.376199999999983,0,19.939726416854025,grid_connected_same_production
