mode,scenario,wind_scenario,pv_scenario,storage_capacity_mwh,storage_power_mw,日产氨量,设备利用率,常规负荷需求电量,常规负荷缺供电量,常规负荷供电保障率,制氨工艺用电量,离网服务负荷电量,离网需求电量,风电发电量,光伏发电量,新能源可发电量,新能源实际利用电量,弃风弃光电量,弃风弃光率,风光利用率,储能充电量,储能放电量,储能等效吞吐量,储能损耗及自损耗估计,新能源上网电量比例,新能源自发自用比例（离网实际消纳口径）,总用电量绿电比例（离网需求保障口径）,风电成本,光伏成本,碱性电解槽运维成本,PEM电解槽运维成本,合成氨装置运维成本,储能年化投资成本,储能充放电运维成本,日总成本,吨氨成本,能源自治是否满足常规负荷,ammonia_gain_t,curtailment_reduction_mwh
offgrid_storage,W4_PV1,4,1,0.0,0.0,46.186424096385544,0.6414781124497992,60.72,0.0,1.0,638.9122,699.6322,699.6322,367.484,509.44000000000005,876.924,699.6322,177.2918,0.2021746468337051,0.797825353166295,0.0,0.0,0.0,0.0,0.0,0.797825353166295,1.0,55122.6,61132.8,30790.94939759036,46186.42409638554,46.186424096385544,0.0,0.0,193278.95991807227,4184.756964832831,1,0.0,0.0
offgrid_storage,W4_PV1,4,1,5.0,5.0,46.76993022751289,0.6495823642710123,60.72,0.0,1.0,646.9840348139282,707.7040348139283,707.7040348139283,367.484,509.44000000000005,876.924,708.7746688933422,168.14933110665777,0.19174903538580057,0.8082509646141994,5.55666889334224,4.486034813928212,10.042703707270451,1.070634079413935,0.0,0.8082509646141994,1.0,55122.6,61132.8,31179.953485008587,46769.93022751289,46.76993022751289,925.925925925926,100.42703707270452,195278.40660574764,4175.29822379066,1,0.5835061311273435,9.142468893342226
offgrid_storage,W4_PV1,4,1,10.0,10.0,47.093931528717704,0.6540823823433014,60.72,0.0,1.0,651.4660528139282,712.1860528139282,712.1860528139282,367.484,509.44000000000005,876.924,714.3409770652415,162.5830229347584,0.1854014976608673,0.8145985023391327,11.122977065241592,8.96805281392821,20.091029879169803,2.154924251313332,0.0,0.8145985023391327,1.0,55122.6,61132.8,31395.954352478468,47093.9315287177,47.093931528717704,1851.851851851852,200.91029879169804,196845.1419633684,4179.840917366029,1,0.9075074323321601,14.708777065241605
offgrid_storage,W4_PV1,4,1,15.0,15.0,47.41793282992252,0.6585824004155906,60.72,0.0,1.0,655.9480708139281,716.6680708139281,716.6680708139281,367.484,509.44000000000005,876.924,719.907665998664,157.01633400133602,0.17905352573465433,0.8209464742653457,16.689665998663994,13.45007081392821,30.139736812592204,3.23959518473589,0.0,0.8209464742653457,1.0,55122.6,61132.8,31611.955219948348,47417.932829922516,47.41793282992252,2777.777777777778,301.39736812592207,198411.8811286045,4184.32161183119,1,1.2315087335369768,20.275465998663975
offgrid_storage,W4_PV1,4,1,20.0,20.0,47.74193413112734,0.6630824184878796,60.72,0.0,1.0,660.4300888139283,721.1500888139283,721.1500888139283,367.484,509.44000000000005,876.924,725.4743549320864,151.4496450679136,0.17270555380844133,0.8272944461915587,22.256354932086392,17.93208881392821,40.1884437460146,4.324266118158107,0.0,0.8272944461915587,1.0,55122.6,61132.8,31827.956087418228,47741.934131127346,47.74193413112734,3703.703703703704,401.884437460146,199978.62029384053,4188.741489705508,1,1.5555100347417934,25.8421549320864
offgrid_storage,W4_PV1,4,1,25.0,25.0,48.065808187973516,0.66758066927741,60.72,0.0,1.0,664.9103466003003,725.6303466003003,725.6303466003003,367.484,509.44000000000005,876.924,731.0440363381852,145.87996366181483,0.16635416941697892,0.8336458305830211,27.82603633818516,22.41234660030035,50.23838293848551,5.413689737884852,0.0,0.8336458305830211,1.0,55122.6,61132.8,32043.87212531568,48065.80818797352,48.065808187973516,4629.62962962963,502.38382938485506,201545.15958049166,4193.108722780615,1,1.8793840915879727,31.411836338185168
offgrid_storage,W4_PV1,4,1,30.0,30.0,48.38916148657593,0.6720716873135546,60.72,0.0,1.0,669.3834005643002,730.1034005643003,730.1034005643003,367.484,509.44000000000005,876.924,736.6218809608529,140.3021190391471,0.15999347610414028,0.8400065238958597,33.403880960852895,26.88540056430035,60.28928152515324,6.518480396552604,0.0,0.8400065238958597,1.0,55122.6,61132.8,32259.44099105062,48389.16148657593,48.38916148657593,5555.555555555556,602.8928152515325,203110.84000992024,4197.444918864053,1,2.2027373901903857,36.989680960852894
offgrid_storage,W4_PV1,4,1,35.0,35.0,48.71251478517834,0.6765627053496992,60.72,0.0,1.0,673.8564545283002,734.5764545283002,734.5764545283002,367.484,509.44000000000005,876.924,742.1997255835206,134.72427441647937,0.1536327827913016,0.8463672172086983,38.981725583520635,31.358454528300353,70.34018011182098,7.623271055220357,0.0,0.8463672172086983,1.0,55122.6,61132.8,32475.00985678556,48712.51478517834,48.71251478517834,6481.481481481482,703.4018011182098,204676.5204393488,4201.7235476749665,1,2.5260906887927987,42.56752558352062
offgrid_storage,W4_PV1,4,1,40.0,40.0,49.03586808378074,0.6810537233858436,60.72,0.0,1.0,678.3295084923003,739.0495084923003,739.0495084923003,367.484,509.44000000000005,876.924,747.7775702061883,129.14642979381165,0.14727208947846296,0.8527279105215371,44.55957020618836,35.83150849230035,80.39107869848871,8.728061713887996,0.0,0.8527279105215371,1.0,55122.6,61132.8,32690.5787225205,49035.86808378075,49.03586808378074,7407.407407407408,803.9107869848871,206242.20086877732,4205.945748047125,1,2.8494439873951976,48.145370206188346
offgrid_storage,W4_PV1,4,1,45.0,45.0,49.359221382383154,0.6855447414219883,60.72,0.0,1.0,682.8025624563004,743.5225624563004,743.5225624563004,367.484,509.44000000000005,876.924,753.3580312914389,123.565968708561,0.14090841248336344,0.8590915875166365,50.14003129143899,40.30456245630035,90.44459374773933,9.8354688351385,0.0,0.8590915875166365,1.0,55122.6,61132.8,32906.14758825544,49359.221382383155,49.359221382383154,8333.333333333334,904.4459374773933,207807.9074628317,4210.113159058068,1,3.1727972859976106,53.72583129143899
